ID,URL,URL TITLE,AUTHOR,DESCRIPTION,PUBLISH DATE,GALLERY PRESS,ARTIST
0,http://glasstire.com/2017/03/09/top-five-march-9-2017/,Glasstire," Knudson, Rainey and Rees, Christina","Top Five: March 9, 2017. (Deb Sokolow). March 9, 2017"," March 9, 2017",false,Deb Sokolow
2,http://www.chicagomag.com/Chicago-Magazine/March-2017/Ryan-Travis-Christian-Art/,Chicago Magazine,"Foumberg, Jason","Ryan Travis Christian Pays Homage to 1930s Satire. February 28, 2017"," February 28, 2017",false,Ryan Travis Christian
3,http://brutforce.com/imagined-spaces-2017-outsider-art-fair/,Brut Force," Kodjabasheva, Ani and McHugh, Brendan","‰ÛÏImagined Spaces at the 2017 Outsider Art Fair‰Ûù. (Courttney Cooper). January 31, 2017"," January 31, 2017",false,Courttney Cooper
4,http://theheadband.fr/2017/01/26/outsider-art-fair-new-york-city-2017/,The Headband," Mille, Julia","Outsider Art Fair New York City 2017. (Courttney Cooper). January 26, 2017"," January 26, 2017",false,Courttney Cooper
5,http://art.newcity.com/2017/01/26/colors-and-forms-delight-in-a-panoply-of-styles/,Newcity," Miller, Chris","Colors and Forms Delight in a Panoply of Styles. January 26, 2017"," January 26, 2017",true,
6,https://news.artnet.com/market/12-great-works-outsider-art-fair-824870?utm_campaign=artnetnews&utm_source=011617daily&utm_medium=email&utm_term=artnet%20News%20Daily%20Newsletter%20USE,artnet,"Boucher, Brian","12 Great Affordable Artworks at the 2017 Outsider Art Fair. (Courttney Cooper). January 20, 2017"," January 20, 2017",false,Courttney Cooper
7,http://www.chicagoreader.com/chicago/donald-trump-president-inauguration-responses/Content?oid=25132990,Chicago Reader,Reader Staff,"Chicago responds to President Trump. (Deb Sokolow). January 19, 2017"," January 19, 2017",false,Deb Sokolow
8,http://m.chicagoreader.com/chicago/western-exhibitions-underlying-system-is-known-biennial/Content?oid=25134509,Chicago Reader,"Rosenberg, Tal","Western Exhibitions inaugurates a new space with an expansive show. January 18, 2017"," January 18, 2017",true,
9,http://artltdmag.com/2017/01/2016-top-ten-lists/,art ltd," Yood, James","2016 Top Ten List. (Deb Sokolow). (PDF version) January 5, 2017"," January 5, 2017",false,Deb Sokolow
11,http://www.blouinartinfo.com/news/story/1803960/courttney-coopers-architectures-of-the-imaginary-at-western,Artinfo," Carrigan, Margaret","Courttney Cooper's Architectures of the Imaginary at Western Exhibitions. December 19, 2016"," December 19, 2016",false,Courttney Cooper
12,http://art.newcity.com/2016/12/15/newcitys-top-five-2016-visual-arts/,Newcity, Staff,"Newcity‰Ûªs Top 5 of Everything 2016: Visual Arts. (Courttney Cooper). December 15, 2016"," December 15, 2016",false,Courttney Cooper
13,http://artfcity.com/2016/11/30/untitled-bright-lights-dim-content/,Artfcity," Johnson, Paddy","UNTITLED: Brigh Lights, Dim Content. (Orkideh Torabi). November 30, 2016"," November 30, 2016",false,Orkideh Torabi
14,http://www.chicagobusiness.com/section/top-cultural-events-winter-2016-17,Crain's Business Chicago, Staff,The 52 Must-Do Events in Chicago This Season. (Courttney Cooper). November 2017," November 1, 2017",false,Courttney Cooper
15,http://www.chicagogallerynews.com/news/2016/10/document-paris-london-hong-kong-volume-gallery-and-western-exhibitions-to-relocate-to-ukrainian-village-neighborhood,Chicago Gallery News," Reilly, Alison","DOCUMENT, Paris London Hong Kong, Volume Gallery and Western Exhibitions to Relocate to Ukrainian Village Neighborhood. October 26, 2016"," October 26, 2016",true,
16,http://hyperallergic.com/328278/weekend-studio-visit-richard-hull-east-village-chicago/,"Hyperallergic Yau, John","Weekend Studio Visit: Richard Hull in East Village, Chicago. October 9, 2016"," October 9, 2016",,true,
17,http://art.newcity.com/2016/11/16/fear-and-loathing-in-u-s-politics/,"New City Cardoza, Kerry","Fear and Loathing in U.S. Politics. (Deb Sokolow). November 21, 2016"," November 21, 2016",,true,
18,http://www.venisonmagazine.com/htgas-no-5.html,How to give a shit - Part 5," Hagler, Joshua",Room by Sunlit Room. (Robyn O'Neil). Autumn 2016," September 22, 2016",false,Robyn O'Neil
19,http://hyperallergic.com/326534/deb-sokolow-men-western-exhibitions/,Hyperallergic," Yau, John","Vanity, Thy Name Is Man. (Deb Sokolow). October 2, 2016"," October 2, 2016",false,Deb Sokolow
20,,NewCity Art,"Barton, Brit","Deb Sokolow. October 1, 2016"," October 1, 2016",false,Deb Sokolow
21,http://lenscratch.com/2016/09/jessica-labatte-the-states-project-illinois/,Lenscratch," Connell, Kelli","Jessica Labatte: The State Project: Illinois. September 24, 2016"," September 24, 2016",false,Jessica Labatte
22,http://www.chicagogallerynews.com/news/2016/9/ground-floor-at-the-hyde-park-art-center?utm_source=CGN%2BArt%2BHeadlines%3A%2BSeptember%2B20%2C%2B2016&utm_campaign=CGN%2BEblast%2BSept%2B20&utm_medium=email,Chicago Gallery News," Reilly, Allison","Ground Floor at the Hyde Park Art Center. (Orkideh Torabi). September 20, 2016"," September 20, 2016",false,Orkideh Torabi
23,http://art.newcity.com/2016/09/15/art-50-2016/4/,NewCity Art,"Reichert, Elliot","Art 50 2016, Chicago's Artists' Artists (Richard Hull & Deb Sokolow). September 15, 2016"," September 15, 2016",false,Richard Hull
24,http://www.disparateminds.org/blog/2016/9/13/must-see-fall-exhibitions,Disparate Minds, Staff,"Essential Fall Exhibitions. (Courttney Cooper). September 13, 2016"," September 13, 2016",false,Courttney Cooper
25,https://newamericanpaintings.com/blog/deb-sokolow%E2%80%99s-thoughts-men,New American Paintings," Fiore, Brad","Deb Sokolow's Thoughts on Men. September 12, 2016"," September 12, 2016",false,Deb Sokolow
26,http://www.chicagomag.com/arts-culture/August-2016/Must-an-Architect-Build-Buildings/,Chicago Magazine," Foumberg, Jason","Must an Architect Build Buildings? (Marshall Brown). August 3, 2016"," August 3, 2016",true,
27,http://art.newcity.com/2016/07/27/colorful-cartoonish-constructions-of-masculinity/,New City," Ali, Hiba","Colorful, Cartoonish Constructions of Masculinity A Review of Orkideh Torabi at Western Exhibitions. July 27, 2016"," July 27, 2016",false,Orkideh Torabi
28,http://badatsports.com/2016/episode-554-ben-stone/,Bad at Sports," Bassett, Dana; Borowy-Reeder, Elysia; Mackenzie, Duncan","Ben Stone. Audio interview, July 2016"," July 1, 2016",false,Ben Stone
